ID,site,Altitude,lon,lat,pH,Mg_avail,Mg_total,Mg,Na_avail,Na_total,Na,K_avail,K_total,K,Ca_avail,Ca_total,Ca,P_avail,P_total,S_avail,S_total,S.delivery,C.S_ratio,C.OS.ratio,C,C_inorganic,N,C.N_ratio,N.delivery,Microbial_activity,organic,Carbonated_lime,Clay,Silt,Sand,Clay_humus,Striga_Count_Ave,Striga_Count_SE,Sorghum_Count_Ave,Sorghum_Count_SE,Striga_count.Sorghum_count,Normalized_Striga_Count_Ave,Normalized_Striga_Count_SE,Seedbank_Ave,Seedbank_SE,Suicidal_Germ_Ave,Suicidal_Germ_SE,Observed,Chao1,se.chao1,ACE,se.ACE,Shannon,Simpson,InvSimpson,Fisher,Abditibacteriota,Acidobacteriota,Actinobacteriota,Armatimonadota,Bacteroidota,Bdellovibrionota,Chloroflexi,Cyanobacteria,Deinococcota,Entotheonellaeota,Fibrobacterota,Firmicutes,Gemmatimonadota,Myxococcota,Nitrospirota,Patescibacteria,Planctomycetota,Proteobacteria,Spirochaetota,Sumerlaeota,Verrucomicrobiota
E23,Qobo,1503,39.61580556,12.10275,7.2,382,34.2,16,13,1,0.5,61,1.7,0.8,0.1,299,83,0.5,370,4.3,0,8,64,0.26,1,0.04,1590,6,115,42,3.8,0,18,64,14,213,27.5,4.873397172,5.25,0.478713554,5.238095238,45.1,5.7,8.258756612,4.496788978,0,0,307,323.5,7.568103763,321.9057605,8.611621255,5.203201197,0.992540813,134.0628675,77.93558826,0.002521008,0.233109244,0.057310924,NA,0.113277311,NA,0.062016807,NA,NA,NA,NA,NA,0.092268908,0.006386555,0.05512605,0.001008403,0.08789916,0.285546218,NA,0.001680672,0.001848739
E24,Kewet,1263,39.92391667,9.989277778,7.6,272,19.9,5.7,43,1.3,0.4,74,7.5,2.1,2,469,92,0.2,140,4.1,385,23,50,0.53,1.9,0.13,1020,19,35,84,3.6,0.5,43,53,0,352,67.5,24.14711853,8.25,0.853912564,8.181818182,68.5,19.2,2.570638481,2.566666667,0,0,454,486.5428571,10.5206259,491.9768905,10.25301716,5.5949164,0.994543217,183.2581443,132.7391744,0.001681025,0.166631645,0.15055684,NA,0.115255306,0.00052532,0.045702879,NA,NA,NA,NA,NA,0.10664005,NA,0.058415634,NA,0.134166842,0.21222946,NA,NA,0.008194999
E25,Tahtay-Adiabo,1078,37.87,14.40625,6.9,654,48,18,31,2.1,0.8,47,6.9,2.5,0.1,170,63,0,20,3.8,0,10,37,0.18,0.6,0,640,9,40,93,3.3,0,37,49,11,272,46.75,9.401905835,11.25,2.096624271,4.155555556,38.9,10.7,6.565699732,2.1,34.01350222,16.86368757,503,541.0422535,11.72345504,540.4560323,10.22661208,5.732075504,0.995463969,220.4570628,153.2910217,0.002194502,0.244629245,0.10972511,NA,0.103141603,NA,0.096673597,NA,NA,NA,NA,NA,0.153499653,NA,0.033495033,0.001270501,0.106375606,0.144375144,NA,NA,0.004620005
E26,Haftay-Humera,616,36.66305556,14.24644444,7.6,635,79.6,16,331,1.2,0.2,30,8.4,1.7,0.5,386,79,0,50,2.6,0,6,85,0.45,1.3,0.24,480,26,5,102,2.9,1.4,55,18,23,489,53.25,4.802343178,8.75,0.853912564,6.085714286,53.5,6,14.70631812,0.491030662,0,0,289,293.3870968,3.131040671,295.0167392,8.225357699,5.138514767,0.991783813,121.7109602,71.928973,NA,0.224546928,0.147635185,0.006188301,0.110505378,NA,0.113599529,NA,NA,NA,NA,NA,0.072049506,NA,0.031678208,NA,0.089141005,0.20465596,NA,NA,NA
E27,Raya-Alamata,1513,39.57669444,12.36480556,7.6,502,24.7,10,38,0,0,132,1,0.4,0.1,345,89,2.1,700,8.9,175,4,114,0.42,2,0.29,1490,13,75,110,4.8,1.8,22,66,5,239,10.5,4.031128874,5.75,0.478713554,1.826086957,15.5,5.2,46.00116236,19.22680421,7.155664899,4.654299088,230,242.5,6.692323375,241.862707,7.553132749,4.830098675,0.988957715,90.56096357,53.3364143,0.00231705,0.230739525,0.071442363,0.001737787,0.068159876,NA,0.048464955,NA,NA,NA,NA,NA,0.110059857,0.01679861,0.047692605,0.000579262,0.119521143,0.282486967,NA,NA,NA
E28,Tahtay-Adiabo,1040,37.7605,14.56113889,7.2,364,47,29,28,1.3,0.8,54,3.1,1.9,0.1,104,64,0,30,7.2,50,2,100,0.31,0.5,0,610,8,45,139,1.6,0,20,21,57,162,0,0,11,1.08012345,0,0,0,2.905913222,1.513274595,0,0,350,364.3846154,6.68122911,365.2959002,9.152123166,5.329006341,0.992169579,127.7070608,92.90840657,NA,0.18201234,0.147959184,0.000830565,0.133839582,NA,0.066563835,0.000355956,NA,NA,NA,NA,0.057190318,0.003796868,0.01233982,0.003440911,0.102752729,0.288561936,NA,NA,0.000355956
E29,Haftay-Humera,635,36.60313889,14.24077778,7.2,805,68.3,14,107,2.3,0.5,34,8.6,1.8,0.1,373,77,0,30,1.8,160,9,64,0.45,1,0.22,480,21,15,59,2.2,1.3,54,8,35,483,2.5,0.957427108,9,1.471960144,0.277777778,2.5,1,0.809947103,0.8,0,0,416,448.5714286,11.38250624,443.0230945,9.547405821,5.534060908,0.994500786,181.8441755,117.5914477,0.000408108,0.142701673,0.05591076,0.002720718,0.171269215,NA,0.110461162,NA,NA,NA,NA,NA,0.173989933,NA,0.038906271,NA,0.079036866,0.22405115,NA,NA,0.000544144
E30,Artma-Fursi,1460,39.93069444,10.563,6.8,446,34.1,9.1,0,1.8,0.5,649,6.5,1.7,0.4,264,70,39,5710,22,550,24,70,0.61,3.8,0.16,3970,10,215,87,6.2,0.8,45,21,27,375,0,0,11.75,2.015564437,0,0,0,0,0,0,0,223,230.5,5.080103538,228.8540941,7.437558711,4.931019672,0.990647016,106.9177453,51.24375004,NA,0.195590729,0.059920859,0.000565291,0.193329565,NA,0.028452987,NA,NA,NA,0.000376861,0.002449595,0.107593744,NA,0.029583569,0.006218202,0.096476352,0.279065385,NA,NA,0.000376861
E31,Haftay-Humera,649,36.73280556,14.21602778,7.6,632,67.9,12,238,1.7,0.3,46,6.6,1.2,3,523,86,0,0,3.6,0,4,103,0.39,1.6,0.11,530,29,0,114,4.1,0.4,51,25,20,556,0,0,5.75,1.030776406,0,0,0,2.39633201,2.4,0,0,352,379.8571429,11.58357617,368.8882543,9.062637159,5.36880134,0.993184925,146.7335212,93.62612716,0.002024565,0.134161155,0.037251991,NA,0.183830476,0.00134971,0.057362667,0.000269942,NA,NA,NA,NA,0.091510325,0.002969362,0.048994466,0.006478607,0.084761776,0.339317047,NA,NA,0.009717911
E32,Wuchale,1565,39.61694444,11.45202778,6.9,518,31.7,14,37,0,0,63,1.2,0.5,0.1,313,85,3,980,5.1,0,1,172,0.52,2.6,0.05,1070,24,20,60,5,0,29,43,23,227,42,2.380476143,3.75,0.853912564,11.2,114.5,30.9,12.19528016,4.652239604,42.39015124,17.60238502,295,300.1,3.473091406,300.9446281,8.317825108,5.16070505,0.991546618,118.2958495,73.91397569,NA,0.149260774,0.255426235,NA,0.082573136,NA,0.086662472,0.002831079,NA,NA,NA,NA,0.051431268,NA,0.045926392,0.003302925,0.024536018,0.298049701,NA,NA,NA
