ID,site,Altitude,lon,lat,pH,Mg_avail,Mg_total,Mg,Na_avail,Na_total,Na,K_avail,K_total,K,Ca_avail,Ca_total,Ca,P_avail,P_total,S_avail,S_total,S.delivery,C.S_ratio,C.OS.ratio,C,C_inorganic,N,C.N_ratio,N.delivery,Microbial_activity,organic,Carbonated_lime,Clay,Silt,Sand,Clay_humus,Striga_Count_Ave,Striga_Count_SE,Sorghum_Count_Ave,Sorghum_Count_SE,Striga_count.Sorghum_count,Normalized_Striga_Count_Ave,Normalized_Striga_Count_SE,Seedbank_Ave,Seedbank_SE,log.Seedbank_Ave,log.Seedbank_SE,log.Infestation_Ave,log.Infestation_SE,Bacteria_ShannonIndex,Fungus_ShannonIndex
E12,Raya-Kobo,1607,39.63388889,11.99144444,7.5,431,26.4,14,21,1.3,0.7,34,1,0.5,0.1,286,85,0.3,230,5.1,0,10,38,0.18,0.6,0.05,590,10,35,67,3.3,0,16,72,9,189,115.75,16.87391972,7.5,1.848422751,15.43333333,185.9,81.5,66.5077498,18.0267394,4.21459369,2.944438979,5.230573714,4.412798293,6.724683992,4.156927996
E13,Tahtay-Adiabo,1042,37.74052778,14.53666667,6.6,337,50.4,20,0,0.6,0.2,40,18.3,7.4,0.1,100,40,0,0,2.7,195,9,70,0.38,1.4,0,740,18,25,107,3.7,0,28,40,28,248,0,0,12,0.707106781,0,0,0,0,0,0,0,0,0,6.508409129,4.880656589
E14,Raya-Alamata,1468,39.62508333,12.49713889,7.4,380,18.5,20,17,0,0,272,2,2.2,0.2,200,78,5.3,1050,4.7,70,1,163,0.39,1.1,0.15,970,12,55,65,2.8,0.7,10,78,9,91,124.25,19.1109698,9.5,0.645497224,13.07894737,115,18.5,22.38018847,5.271727526,3.164067589,1.840549633,4.753590191,2.970414466,6.557639895,4.886408463
E15,Haftay humera,608,36.62694444,14.26083333,7.5,632,61.7,13,374,1.3,0.3,20,7.6,1.6,0.2,375,79,0,60,3.1,0,6,83,0.5,1.3,0.22,460,27,5,92,2.6,1.3,56,22,18,472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.187069412,4.693263788
E16,Wuchale,1617,39.12091667,11.48405556,7.1,417,17.3,11,20,0,0,80,3.4,2.1,0.1,194,87,0.9,830,5,60,1,162,0.63,1,0,920,11,55,36,1.6,0,30,33,35,162,0,0,7.25,0.75,0,0,0,0,0,0,0,0,0,6.609494187,4.622725683
E17,Jile-Timuga,1476,39.88508333,10.32591667,7.1,464,26.2,8.6,12,0.8,0.3,49,6.8,2.2,1.2,327,89,0.4,390,3.4,205,7,90,0.35,1.9,0.05,540,34,-5,61,5.5,0,11,55,29,305,11.25,0.478713554,7.75,1.436140662,1.451612903,13.8,2.3,0,0,0,0,2.692936563,1.193922468,6.45162326,4.64880848
E18,Haftay-Humera,625,36.65625,14.17575,7.6,722,83,18,105,1.4,0.3,36,11.3,2.4,1.1,358,76,0,40,3.6,0,2,123,0.46,1.8,0.11,530,35,-10,66,3.9,0.4,49,29,18,472,30,4.636809248,13,2.273030283,2.307692308,21.9,5.4,4.639707032,3.250811864,1.734601055,1.458615023,3.131136911,1.85629799,6.111458395,4.093233287
E19,Kewet,1373,40.02841667,9.853055556,7.6,220,17.7,3.9,17,1.3,0.3,87,4.6,1,6.2,489,95,0,70,5.9,530,33,40,0.4,2.1,0.65,1430,15,60,45,5.3,4.7,46,44,0,456,2,0.577350269,9.75,0.25,0.205128205,1.8,0.6,0,0,0,0,1.047318994,0.470003629,6.276308498,4.768828127
E20,Abergele,1453,39.04077778,13.50269444,7.4,356,36.9,12,91,1.5,0.5,65,6.1,1.9,3.8,254,79,0,120,4.2,380,30,27,0.53,1,0.12,750,14,40,0,1.9,0.5,46,50,2,320,0,0,7.25,0.25,0,0,0,0,0,0,0,0,0,6.574063262,5.187058048
E21,Raya-Alamaxa,1501,39.58802778,12.33797222,7.7,699,12.3,12,44,0,0,44,3.2,3.1,0.1,229,86,0.8,380,6,0,11,37,0.46,0.6,0.13,530,11,30,53,1.3,0.5,28,23,47,104,0,0,7,0.577350269,0,0,0,0,0,0,0,0,0,6.702238682,4.47658516
